UAI;nom_etablissement;type;nature;type_contrat_brut;statut_contrat;adresse;code_postal;ville;code_dept;departement;region;telephone;email;site_web;siret;OPCO_probable;contact_decisionnaire;fonction_contact;profil_pedagogique_notes;etat
0880112U;Collège Jeanne d'Arc;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 avenue de Herringen;88300;Neufchâteau;088;Vosges;Grand Est;03 29 94 03 20;ce.0880112@ac-nancy-metz.fr;https://ja-neufchateau.fr/college/;78345839100019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0880096B;Ensemble Scolaire Jeanne d'Arc - Saint-Joseph (collège);Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;6 rue du Canton;88200;Remiremont;088;Vosges;Grand Est;03 29 62 23 73;ce.0880096@ac-nancy-metz.fr;https://ens-jda-stjo.monbureaunumerique.fr/;78346824200012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754016H;Lycée polyvalent l'Initiative Paris;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;24 rue Bouret;75019;Paris;075;Paris;Ile-de-France;01 53 38 44 10;contact@linitiative.paris;https://www.linitiative.paris;31402460500052;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0781069N;Ensemble Scolaire Terre et Avenir (ex  Lycée agricole Sully);Lycée;LYCEE PROFESSIONNEL;SOUS CONTRAT ETABLISSEMENT AGRICOLE;Sous contrat;22 avenue de l'Europe Magnanville;78200;Magnanville;078;Yvelines;Ile-de-France;01 34 77 27 00;magnanville@cneap.fr;https://esta-magnanville.fr;32020453000028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0931796X;Lycée général privé ORT Daniel Mayer;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;39-45 rue Raspail;93107;Montreuil;093;Seine-Saint-Denis;Ile-de-France;01 49 88 46 50;ce.0931796X@ac-creteil.fr;https://ort-france.fr/montreuil;77568810400113;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0753916Z;Lycée privé Sainte-Élisabeth;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;112 rue de Lourmel;75015;Paris;075;Paris;Ile-de-France;01 45 54 56 76;direction@sainte-elisabeth.com;http://www.sainte-elisabeth.com;78461709400015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100059K;Lycée La Salle;Lycée;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;21 rue du Cloitre Saint-Étienne;10000;Troyes;010;Aube;Grand Est;03 25 72 15 30;contact@lasalle-troyes.fr;https://lasalle-troyes.fr/;78034848800021;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100046W;Lycée Saint-François de Sales;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;11 rue Général Saussier;10000;Troyes;010;Aube;Grand Est;03 25 73 87 93;adjointdirection@sfdstroyes.com;http://sfdstroyes.com;42003828300016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100058J;Collège Saint-Dominique Savio;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue du Docteur Francis Mielle;10800;Saint-Julien-les-Villas;010;Aube;Grand Est;03 25 73 17 70;ce.0100058J@ac-reims.fr;https://saint-dominique-savio-troyes.fr/college/;78034837100045;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0772954T;Lycée général et technologique privé Saint-Colomban;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;110 boulevard du Champ du Moulin;77700;Serris;077;Seine-et-Marne;Ile-de-France;01 64 63 17 24;saintcolomban@lyceerondeau.eu;https://saintcolomban.eu;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0671620X;Collège privé Sainte-Anne;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;128 route du polygone;67100;Strasbourg;067;Bas-Rhin;Grand Est;03 88 31 97 50;ce.0671620X@ac-strasbourg.fr;https://ecole-sainte-anne.com/;77886334000015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910823A;Lycée d'Ile de France;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue du Baron de Nivière;91140;Villebon-sur-Yvette;091;Essonne;Ile-de-France;01 60 10 16 46;idf.villebon@wanadoo.fr;http://www.college-lycee-idf91.fr;78525809600011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
